,STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,UNCERTAINTY
340,9054,Cadmium,2010-04-16,0.01,µg/l,0.0
341,10202,Cadmium,2010-04-21,0.03,µg/l,0.02
342,9054,Cadmium,2010-05-06,0.59,µg/l,0.03
343,9054,Cadmium,2010-06-03,0.07,µg/l,0.0
344,9054,Caesium-137,2011-01-10,80.35,Bq/m3,
345,9054,Caesium-137,2012-01-10,51.35,Bq/m3,
346,10202,Caesium-137,2012-01-10,90.74,Bq/m3,
347,9054,Caesium-137,2022-01-10,73.53255334,Bq/m3,
348,10202,Caesium-137,2016-01-11,124.0235341,Bq/m3,
349,9054,Caesium-137,2021-01-11,63.93251407,Bq/m3,
350,10202,Caesium-137,2021-01-11,120.0528319,Bq/m3,
351,10202,Caesium-137,2022-01-11,148.0659398,Bq/m3,
352,9054,Caesium-137,2015-01-12,70.64,Bq/m3,
353,10202,Caesium-137,2015-01-12,111.07,Bq/m3,
354,10202,Caesium-137,2020-01-15,144.0444138,Bq/m3,
355,9054,Caesium-137,2020-01-17,67.91288683,Bq/m3,
356,10202,Caesium-137,2023-01-23,122.1087358,Bq/m3,
357,9054,Caesium-137,2023-01-24,62.75191342,Bq/m3,
358,9054,Caesium-137,2014-01-07,66.16,Bq/m3,
359,9054,Caesium-137,2013-01-08,62.16,Bq/m3,
360,10202,Caesium-137,2013-01-08,88.34,Bq/m3,
361,10202,Caesium-137,2014-01-08,90.03,Bq/m3,
362,10202,Caesium-137,2012-10-01,114.06,Bq/m3,
363,10202,Caesium-137,2014-10-01,101.05,Bq/m3,
364,10202,Caesium-137,2013-10-10,103.03,Bq/m3,
365,9054,Caesium-137,2016-10-10,62.1551845,Bq/m3,
366,10202,Caesium-137,2016-10-10,101.056985,Bq/m3,
367,10202,Caesium-137,2017-10-10,106.0399601,Bq/m3,
368,10202,Caesium-137,2010-10-13,92.44,Bq/m3,
369,9054,Caesium-137,2010-10-14,84.33,Bq/m3,
370,10202,Caesium-137,2022-10-17,126.07973,Bq/m3,
371,10202,Caesium-137,2021-10-18,170.0887422,Bq/m3,
372,9054,Caesium-137,2022-10-19,70.23590481,Bq/m3,
373,10202,Caesium-137,2023-10-02,128.0573666,Bq/m3,
374,9054,Caesium-137,2019-10-29,66.40875124,Bq/m3,
375,10202,Caesium-137,2011-10-03,80.9,Bq/m3,
376,9054,Caesium-137,2023-10-03,70.83602498,Bq/m3,
