STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,Uncertainty
9054,Beryllium-7,4/10/19,609.7739001,Bq/m3,
10202,Beryllium-7,4/12/21,1302.706352,Bq/m3,
9054,Beryllium-7,4/13/21,521.6475545,Bq/m3,
10202,Beryllium-7,4/2/14,1044.99,Bq/m3,
10202,Beryllium-7,4/20/22,1445.49671,Bq/m3,
9054,Beryllium-7,4/21/22,596.8325307,Bq/m3,
10202,Beryllium-7,4/22/15,988.74,Bq/m3,
9054,Beryllium-7,4/3/17,515.6089848,Bq/m3,
9054,Beryllium-7,4/3/23,576.7392948,Bq/m3,
10202,Beryllium-7,4/3/23,1235.682844,Bq/m3,
10202,Beryllium-7,4/4/11,853.98,Bq/m3,
9054,Beryllium-7,4/4/16,555.9304527,Bq/m3,
10202,Beryllium-7,4/4/16,1149.446781,Bq/m3,
10202,Beryllium-7,4/4/17,1080.567067,Bq/m3,
10202,Beryllium-7,4/8/13,770.23,Bq/m3,
9054,Beryllium-7,4/8/20,530.7022286,Bq/m3,
10202,Beryllium-7,4/8/20,1037.862423,Bq/m3,
9054,Beryllium-7,4/9/18,534.7983332,Bq/m3,
10202,Beryllium-7,4/9/19,1440.410788,Bq/m3,
10202,Beryllium-7,5/10/21,1087.940709,Bq/m3,
9054,Beryllium-7,5/11/21,631.2016417,Bq/m3,
9054,Beryllium-7,5/12/20,525.1555945,Bq/m3,
10202,Beryllium-7,5/12/20,913.4149156,Bq/m3,
10202,Beryllium-7,6/10/21,1138.283529,Bq/m3,
9054,Beryllium-7,6/2/20,536.408498,Bq/m3,
10202,Beryllium-7,6/2/20,1066.016603,Bq/m3,
9054,Beryllium-7,6/20/13,510.33,Bq/m3,
10202,Beryllium-7,6/6/12,791.0,Bq/m3,
9054,Beryllium-7,6/7/21,538.6890891,Bq/m3,
9054,Beryllium-7,7/14/14,509.33,Bq/m3,
10202,Beryllium-7,7/14/14,932.19,Bq/m3,
10202,Beryllium-7,7/18/22,1226.741109,Bq/m3,
9054,Beryllium-7,7/19/22,684.1059472,Bq/m3,
9054,Beryllium-7,7/2/12,503.81,Bq/m3,
10202,Beryllium-7,7/2/12,739.77,Bq/m3,
10202,Beryllium-7,7/2/13,921.49,Bq/m3,
9054,Beryllium-7,7/3/23,654.3860483,Bq/m3,
10202,Beryllium-7,7/3/23,1655.675544,Bq/m3,
